uid,id.orig_h,id.resp_h,version,cipher,server_name,ja3,duration,orig_bytes,resp_bytes
CM3Lmb1kilc32MfZs9,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:831::200e,TLSv13,TLS_AES_128_GCM_SHA256,contacts.google.com,d9fd9bb89da7f8719eb1ec162a193fd1,0.213367,2943,11326
CiHCSA3jvSWUFzG3a7,192.168.1.101,34.110.138.217,TLSv13,TLS_AES_128_GCM_SHA256,merino.services.mozilla.com,2fced3f7abf12d8e3a99de3595355fce,0.355682,4443,15765
C0rztA4gv5i0i5KCAi,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:818::2003,TLSv13,TLS_AES_128_GCM_SHA256,www.gstatic.com,1ef42cab9b7e855a79948ee0ed684fa2,3.270265,4369,7596
CNWHUJ19k1h43ogaqd,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:836::200a,TLSv13,TLS_AES_128_GCM_SHA256,appsgrowthpromo-pa.clients6.google.com,8f9609df0a8734d7fd862961dec4592b,1.006723,9155,15961
CgJIID3ViKwpT4G7yl,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4003:c1a::54,TLSv13,TLS_AES_128_GCM_SHA256,accounts.google.com,ad41654663152af10cbd6ccb38e8eff2,15.044462,10958,8475
CGMMI32tDYhG1eLQxi,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:834::200e,TLSv13,TLS_AES_128_GCM_SHA256,accounts.youtube.com,f8d905a4bb7c4fad878485a43effa2c8,0.950696,11611,11767
CMbVpw4sybf1ooc90d,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:81b::2003,TLSv13,TLS_AES_128_GCM_SHA256,fonts.gstatic.com,59ae1089cb3a590332ab892a8427f463,0.672694,3372,9497
CK9UzQ3DaCQULrwJ7a,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:83b::2016,TLSv13,TLS_AES_128_GCM_SHA256,i.ytimg.com,6c5f80c3d0c91582d4cae88467c19d51,4.008932,10219,34301
C4H09C3ZotTJIWQgAa,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:818::2003,TLSv13,TLS_AES_128_GCM_SHA256,www.gstatic.com,20109d5b1d21955a79dc2aa5b636e4f6,0.207963,5332,6272
C65KWk4BPLkULnYQc9,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:80e::2004,TLSv13,TLS_AES_128_GCM_SHA256,www.google.com,cc3dc9888a99f904b64a99e107f58db1,25.748157,10070,53645
CKTfGA11V5qAJwjo39,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:815::200a,TLSv13,TLS_AES_128_GCM_SHA256,addons-pa.clients6.google.com,667b5eb6f40d6a96e2422869069c337e,0.465478,6497,6279
CnoaZo4JAtPSwK7jdf,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:834::200e,TLSv13,TLS_AES_128_GCM_SHA256,ogs.google.com,7a42a18aaffb9346d721f97765f708aa,0.220626,3877,11189
C0FroYhv0Wnw9ULf6,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:835::200e,TLSv13,TLS_AES_128_GCM_SHA256,lh3.google.com,7af86a6e53ae96c1f4d5cdbe0bc9c3d6,0.172704,2907,10096
CUR9KG229h5lGpYsE,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:80e::2004,TLSv13,TLS_AES_128_GCM_SHA256,www.google.com,801b6b2050c1e596c843c186923613b6,0.151107,7691,31044
CxImhw3aBAdI0WxF04,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2600:9000:257a:a800:7:7f8e:6d00:93a1,TLSv13,TLS_AES_128_GCM_SHA256,imgs.search.brave.com,3107c69fa61e08ad18f9e339f83f66b4,0.414325,8914,23456
Cl5XWj1eISsDxtCex3,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2606:4700:976b:44a8:d3fd:6b3:652f:76d6,TLSv13,TLS_AES_128_GCM_SHA256,cdn.freecodecamp.org,11c6ff482aaf78cefa99983c3fed5f04,0.965089,14254,15932
CvdNrz2JtuJIKTYkej,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:81b::200a,TLSv13,TLS_AES_128_GCM_SHA256,peoplestackwebexperiments-pa.clients6.google.com,f7d30f0aad1a511b99ce182bdda9d7e7,0.120080,2901,13198
C0mGX02c51cxSXUmo6,192.168.1.101,34.110.207.168,TLSv13,TLS_AES_128_GCM_SHA256,profile.accounts.firefox.com,c53bef66fca2f90fe0a998f60a32a891,0.386906,5012,4881
CJIgkf2HUH7QWqlnS4,192.168.1.101,18.161.229.43,TLSv13,TLS_AES_128_GCM_SHA256,js.stripe.com,9af5ec02f9050e4b234e41157eadfc10,0.137133,3529,8445
C9NNix1Sp1w8wk315l,192.168.1.101,18.161.229.43,TLSv13,TLS_AES_128_GCM_SHA256,js.stripe.com,41abc855de1c876da0b3b959ca81e469,0.163103,3457,8588
CUFAXv4eTR9IIEHCCd,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2606:4700:83bb:44a8:d3fd:797:652f:76d6,TLSv13,TLS_AES_128_GCM_SHA256,api.freecodecamp.org,1a8829d8533c2a5f59c65963a97cd605,1.031889,4491,10133
CwZFCi3SQ0mJIg1HB8,2401:4900:232e:a67f:e82d:58b1:ea2c:c209,2404:6800:4007:834::200e,TLSv13,TLS_AES_128_GCM_SHA256,ogs.google.com,22c555557aecdd2f55db4fcf5730f72b,0.106886,2863,10105
